Year,World,Africa,Asia,Europe,Oceania,South America,North America
2009,6872766.988 ,1013045.725 ,4163712.801 ,734923.390 ,36225.138 ,584677.529 ,340182.405 
2010,6956823.588 ,1039304.030 ,4209593.724 ,736412.998 ,36873.069 ,591352.345 ,343287.422 
2011,7041194.168 ,1066409.712 ,4255189.624 ,737850.645 ,37498.325 ,597994.701 ,346251.161 
2012,7125827.957 ,1094343.029 ,4300462.191 ,739225.166 ,38104.733 ,604599.457 ,349093.381 
2013,7210582.041 ,1123045.137 ,4345331.317 ,740541.875 ,38695.742 ,611143.935 ,351824.035 
2014,7295290.759 ,1152433.618 ,4389699.496 ,741818.280 ,39278.630 ,617596.481 ,354464.254 
2015,7379796.967 ,1182438.803 ,4433475.322 ,743058.978 ,39858.693 ,623934.126 ,357031.045 
2016,7464021.934 ,1213040.542 ,4476607.792 ,744268.790 ,40435.631 ,630144.544 ,359524.635 
2017,7547858.900 ,1244222.269 ,4519040.016 ,745414.757 ,41006.479 ,636233.132 ,361942.247 
2018,7631091.113 ,1275921.014 ,4560667.137 ,746419.436 ,41570.823 ,642216.709 ,364295.994 
2019,7713468.205 ,1308064.176 ,4601371.266 ,747182.815 ,42128.048 ,648120.956 ,366600.944 
