,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,66797330.9570327,88112318.4825197,114693403.909884,169433503.269928,235512893.238711,274091110.694801,296963130.18229,382830781.739146,455912765.883658,594573127.329723,852423393.293349,974347886.903331,853465103.5199009,926393353.9462891,969842620.050808,837591557.830333,1119259574.3824198,1541996035.00024,1787998379.62362,3020185206.19241,3721284135.38007,3867409908.3709397,4069182433.7295103,4082613650.01083,4259258810.8932796,4730599690.73975,4847757703.8663,5020265168.28901,4790481509.17679,5484263050.39562,5788311645.24918,5489649946.82113,5438851394.68019,7511527476.861779,8957511538.33124,9931249181.99738,10126990324.6846,10939025528.1174,10945139710.467,10267084034.0528,12786612324.3565,15351912767.9495,14420259499.9218,14901698534.2341,16250740393.453001,14420571191.7156,15646382168.7395,17405503540.3602,18614604730.5018
Brazil,35213857569.8357,39331867587.7699,50623841099.9111,71672675416.4541,91887958745.4616,108051408878.637,127741369547.539,148671741471.835,168803353854.154,186095322489.462,191124804735.572,225557700609.401,238783475400.26898,170392084891.284,175056603683.177,187459772955.66397,225392828194.327,247109091290.455,276042643301.253,375484929930.47296,406897012370.063,378581334817.952,362646104793.298,406935598865.829,580494364385.62,778052821653.106,849622314042.384,881512355619.9409,853815355293.476,594071386008.2529,652360092544.886,560746773511.13,512030132310.54,558922146818.419,669289321941.033,891633826591.6421,1107626711423.57,1397114247307.09,1695855391841.56,1666996294335.76,2208838108593.19,2616156606734.51,2465228293862.62,2472819362259.0,2456043766063.41,1802211999555.59,1795085185212.86,2053601668106.45,1868613092296.89
British Virgin Islands,11613756.0,10027579.0,10468912.0,11850445.0,14168535.0,15565361.0,16968013.0,17542620.0,20377554.0,25420691.0,31729006.0,34692800.0,40837110.0,46020823.0,50548517.0,52645431.0,57296129.0,68331286.0,76812660.0,91491059.0,119887470.0,156768160.0,201188472.0,269881679.0,350699906.0,453368309.0,512751563.0,596116517.0,686333384.0,768556352.0,857631234.0,925008388.0,897600732.0,813093793.0,851921306.0,993527528.0,1076892481.0,1154547507.0,1132849779.0,1000379442.0,1020935184.0,979064447.0,1020377072.0,1032787659.0,1099370698.0,1174332233.0,1290795656.0,1364164483.0,1445732512.0
Brunei Darussalam,224919921.644439,248088784.82472998,340148570.123334,543960286.301867,1348411999.33946,1467369243.59849,1787309387.69467,2176266685.91957,2438644065.4927697,3521564850.91669,6190491610.41135,5483907877.07116,5355761848.79295,4828789012.957,4750818243.81776,4425493575.19949,2698456868.81997,3099730601.69834,2949412946.56944,3308238383.46202,3900702408.5993795,4101104064.13707,4636736503.30475,4549431934.10451,4529039210.05296,5245421237.14613,5668184452.57791,5758127021.77108,4487538132.03261,5096498703.40835,6649709092.03405,6206200902.76256,6474732994.27656,7265920302.876659,8722767581.89475,10561292508.5504,12709854523.37,13570654027.1006,15948702091.7323,11892307477.0295,13707116269.2402,18524790773.9109,19048443088.4528,18094152875.3198,17097795710.9321,12930298314.133001,11400266877.5972,12128166605.7206,13566912772.254
Bulgaria,9000000007.692308,8897435905.04054,10407407407.4074,12408510649.9144,13494845374.737,11908333333.3333,12625000000.0,12908333333.3333,13981716417.9104,9397636874.19447,10831637172.3588,12437536088.2521,13514256147.2807,14525316645.5237,15560491784.9822,16483345420.9296,17522823845.6025,19043227357.4309,21872707283.8801,21982395270.1351,20726027397.2603,8402104591.514059,9475815847.5369,11930907233.8678,10691890604.1219,18991873953.2287,12294768638.062,11316151824.2244,15031030614.0322,13637076500.0045,13245999693.8691,14183449354.4142,16403038072.1963,21144955709.8212,26157746657.4137,29868626122.3107,34380520757.6211,44403554809.1389,54438256447.3307,51999454985.9895,50363557395.6352,57365296993.0382,54012023258.1059,55592598457.2578,56883833987.1795,50630695987.3045,53783800344.0717,58951516170.0801,66199180266.0362
Burkina Faso,506221625.680792,516750462.97390705,659833645.724597,763570493.17354,841032770.0690991,1000485110.3112099,959332056.291132,1159127896.43205,1493803722.6355,2004498549.9598,2174243868.8557897,2014886385.9166102,1848063017.54789,1688525550.89012,1509464968.0272698,1764127836.52224,2313869524.81713,2692719481.7445602,2972626836.6806,2972068200.7270303,3524059275.29535,3562226002.10768,3814199468.27647,3635622608.17707,2153638952.16676,2703731172.73505,2938972186.3565,2781167908.07407,3187074924.77829,3388343253.48497,2961053725.68115,3187554238.2344103,3605369483.9863896,4730210797.24076,5441950912.39166,6143878154.52017,6541527439.7631,7615591425.4993,9413243698.36013,9412810339.949379,10099802296.7411,12064439106.7541,12561722088.8165,13440408664.6773,13924538406.6705,11823188438.3871,12822524469.6541,14169989422.9079,16199647535.5216
Burundi,245436571.183135,252516571.428571,246354285.714286,305491646.99426097,346375873.015873,414873650.793651,457333333.333333,543241111.111111,613618888.888889,792834444.4444441,951188888.8888891,993144444.444444,1045488888.88889,1106980580.61128,1006196963.47818,1171150233.1428301,1233604831.34774,1162071425.97011,1089119982.90537,1131605042.01681,1148319882.82609,1167401158.13826,1086803177.4277198,974857896.037565,1068821055.7562,1000430417.5049801,868960847.353122,972854233.824716,893694806.9954721,808149939.0041031,709113236.695313,662345748.396265,628101556.183684,595481332.3234379,679885548.187846,1117109381.7778099,1273375078.44845,1356198462.47055,1611836699.9829302,1775497471.5742602,2032137629.0035,2235809707.07493,2327401669.57755,2451625280.19532,2705829234.96678,2810531639.55685,2930089365.57692,3217016809.76024,3285150299.61898
Cabo Verde,72940653.7705376,82283945.27666129,93068363.97127901,114858297.4897,115073502.40446001,133965391.679256,125012070.40681002,117274893.55406599,134990618.596367,144731713.224821,161773668.706928,158625012.304399,159961096.817474,157522539.085565,150187552.872411,156687309.72973898,216904365.08033898,268566664.133672,301777902.383182,305200910.315612,350332099.336488,365188372.31882405,407654368.06413996,411174923.289979,465192180.264376,557953517.019431,574164876.807289,561064843.165313,597834851.366426,678758984.1268361,613244426.351825,640308144.764934,706213173.478633,925693192.9742801,1051195104.2729801,1105394035.37728,1259964147.17068,1513937453.02157,1789327997.9819102,1711815539.94261,1664310632.03675,1864826141.6228302,1751887838.80987,1850952140.47041,1858125074.9847398,1596154125.4674401,1663011130.5248,1769786531.68117,1976814722.95182
Cambodia,767724278.288052,766344025.140473,756005600.181168,646367316.70724,667664169.7028,719662488.776004,759268296.782537,688087311.866593,736486224.78803,695270213.701177,715103508.715721,783089543.018725,831470540.7756151,902343643.8381311,981007552.5491071,1059295109.0827,1121700920.6798,1396925687.00535,1680385605.46571,1741743757.72129,1697719548.0117302,2248213477.18051,2393653450.60333,2433856452.21272,2676188979.47156,3309356001.3600802,3506718125.71895,3443471825.93025,3130078522.50738,3512777994.7266603,3666637566.7591,3991795046.3869295,4289402492.2782,4664899328.85906,5337889822.59571,6293048259.01038,7274501919.21038,8639240662.36595,10351917780.0617,10401844097.2782,11242278818.7738,12829542934.5817,14054450781.0563,15268706934.012,16702613003.096,18049953905.7218,20016756230.7579,22177200588.6821,24571753581.7959
Cameroon,1315837125.37849,1475313816.08834,1903180994.52445,2584984398.36988,2760919559.74008,3626171758.7867103,3951066931.89691,4621515678.09135,6083582159.54021,8095575302.50616,10089593335.0664,9469026881.588001,9500798884.22219,9913433581.3645,9765380113.60189,9597106419.18581,11734309947.155,12790637653.8733,12502898932.4166,11523062026.7151,12814211902.6035,12311513099.5736,12548713742.8859,13269956745.4596,7695538967.058021,9641307543.28875,10327636325.9804,9868797592.904041,10631315210.137,10841524257.6678,10046703863.6003,10420713433.7413,11769310318.6771,14735453499.2088,17065151809.8964,17944082744.1043,19356045972.1312,22365265838.2245,26409783836.034,26017926061.257004,26143752760.6099,29336923306.4059,29104427473.2795,32348187978.0134,34942915662.0178,30905283529.1243,32643632642.4999,35009259798.3728,38694159761.1033
Canada,89228310507.8948,100781184312.526,114779446523.991,133068911057.14801,161861559076.236,175041578339.184,208926751544.34802,214000658352.375,220960396385.743,245489894891.047,276036947971.455,307242005071.64,314635253601.338,341857597139.921,356722948717.36896,366185355724.525,379001079593.199,433130173015.165,509369265666.791,567205850266.401,596076364337.597,612508328120.681,594364309499.679,579055855315.812,579918548468.787,605923388318.501,630601370768.9089,654980560203.185,634013755088.951,678395717485.9971,744765707590.6841,738999189136.692,760640447922.718,895569399653.356,1026674344408.2,1173143270550.63,1319305689828.95,1468823409384.14,1552933348328.08,1374624472823.25,1617265763788.31,1792832718134.92,1828686326911.95,1847206580024.18,1803528689477.91,1556127179015.25,1530272790516.06,1650187053776.94,1712562076052.28
