Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Burkina Faso,2.4,2.45,2.5,2.55,2.6,2.62,2.64,2.66,2.68,2.7,2.96,3.22,3.48,3.74,4.0,4.18,4.36,4.54,4.720000000000001,4.9,5.3,5.8,6.3,6.5,6.7,6.4,6.0
Burundi,1.6,1.675,1.75,1.825,1.9,1.94,1.98,2.02,2.06,2.1,2.08,2.06,2.04,2.02,2.0,1.96,1.92,1.8800000000000001,1.84,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.5
Cabo Verde,10.3,10.5,10.7,10.9,11.1,11.219999999999999,11.34,11.459999999999999,11.58,11.7,11.6,11.5,11.399999999999999,11.299999999999999,11.2,11.1,11.0,10.899999999999999,10.799999999999999,10.7,11.0,11.6,12.1,12.0,12.1,12.3,12.2
Cambodia,2.3,2.3499999999999996,2.4,2.45,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.1,1.9,1.7,1.5,1.48,1.46,1.44,1.42,1.4,1.3,1.3,1.3,1.2,1.2,1.1,1.1
Cameroon,7.3,7.475,7.65,7.825,8.0,7.92,7.84,7.76,7.68,7.6,6.96,6.32,5.68,5.04,4.4,4.34,4.28,4.22,4.16,4.1,4.0,3.9,3.7,3.5,3.5,3.5,3.4
Canada,10.3,10.100000000000001,9.9,9.7,9.5,8.96,8.42,7.88,7.34,6.8,6.8,6.8,6.8,6.8,6.8,7.06,7.319999999999999,7.58,7.84,8.1,7.5,7.3,7.1,6.9,6.9,7.0,6.3
Central African Republic,6.7,6.825,6.95,7.075,7.2,7.28,7.36,7.4399999999999995,7.52,7.6,7.54,7.4799999999999995,7.42,7.359999999999999,7.3,7.22,7.14,7.0600000000000005,6.98,6.9,7.0,6.9,6.9,6.9,6.8,6.7,6.5
Chad,0.6,0.65,0.7,0.75,0.8,0.9,1.0,1.1,1.2000000000000002,1.3,1.34,1.3800000000000001,1.42,1.46,1.5,1.52,1.54,1.56,1.58,1.6,1.8,1.8,2.1,2.1,2.2,2.4,2.2
Chile,5.2,5.075,4.95,4.825,4.7,5.86,7.02,8.18,9.34,10.5,10.26,10.02,9.780000000000001,9.540000000000001,9.3,9.120000000000001,8.940000000000001,8.76,8.58,8.4,7.3,6.7,6.2,6.7,6.5,6.7,7.0
China,2.4,2.55,2.7,2.85,3.0,3.06,3.12,3.1799999999999997,3.2399999999999998,3.3,3.54,3.78,4.02,4.26,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.4
Colombia,10.1,9.75,9.399999999999999,9.049999999999999,8.7,11.059999999999999,13.42,15.780000000000001,18.14,20.5,18.78,17.06,15.34,13.620000000000001,11.9,11.72,11.540000000000001,11.36,11.18,11.0,10.1,9.7,9.1,8.6,8.3,8.7,8.9
Comoros,4.2,4.275,4.35,4.425,4.5,4.54,4.58,4.62,4.66,4.7,4.66,4.62,4.58,4.54,4.5,4.44,4.38,4.32,4.26,4.2,4.3,4.2,4.2,4.1,4.0,3.9,3.7
