,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cabo Verde,11.1,11.1,11.10555555555555,11.10555555555555,11.10555555555555,11.10555555555555,11.10555555555555,11.10555555555555,11.10555555555555,11.10555555555555,11.10555555555555,13.8888888888889,15.9777777777778,16.6777777777778,17.3777777777778,18.0777777777778,20.81666666666665,20.81666666666665,20.81666666666665,20.81666666666665,20.81666666666665,22.205555555555552,22.205555555555552,23.611111111111104,23.611111111111104,25.0
Cambodia,5.8,5.8,5.816666666666665,6.399999999999999,8.165027322404372,8.338524590163935,8.498524590163935,8.658524590163935,10.008048780487805,10.168048780487805,10.328048780487805,11.138048780487804,16.826097560975597,16.010081300813,19.2591056910569,20.069105691056897,19.412601626016247,19.412601626016247,19.412601626016247,19.412601626016247,19.662601626016247,19.662601626016247,19.412601626016247,20.0,20.0,20.0
Cameroon,5.6,5.6,5.577777777777779,5.577777777777779,5.577777777777779,5.577777777777779,5.907777777777779,7.9044444444444455,8.234444444444446,8.564444444444446,8.894444444444446,9.394444444444446,12.39444444444445,12.89444444444445,13.39444444444445,13.89444444444445,13.89444444444445,13.89444444444445,29.105555555555554,29.105555555555554,29.105555555555554,29.105555555555554,29.105555555555554,31.111111111111104,31.111111111111104,33.8888888888889
Canada,21.2,21.2,20.899003322259148,21.117753322259148,21.336503322259148,22.5125,21.774003322259148,21.992753322259148,22.211503322259148,22.68319805194805,22.90194805194805,22.7596103896104,23.04573770491805,23.448961038961052,23.468961038961048,23.48896103896105,26.22785016286645,26.33766233766235,26.33766233766235,26.79071661237785,27.167751479289947,27.917751479289947,28.18432835820895,26.9461077844311,28.994082840236697,28.994082840236697
Caribbean small states,,,11.570247933884302,12.023460410557199,12.9113924050633,13.225806451612899,14.6153846153846,,15.9353348729792,17.8240740740741,17.8240740740741,17.2413793103448,18.0995475113122,17.4887892376682,17.3814898419865,15.2466367713004,15.848214285714299,16.1797752808989,17.0786516853933,17.155756207675,19.730941704035896,20.4035874439462,21.2527964205817,21.923937360179,22.5950782997763,23.702031602708804
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,3.5,3.5,3.51470588235294,4.148039215686273,6.686391437308867,7.3197247706422,7.6397247706422,7.9597247706422,9.219999999999999,9.86,10.488095238095251,10.398095238095252,10.308095238095252,10.21809523809525,9.697692307692309,9.607692307692309,12.5,12.5,11.175,9.85,8.525,7.197122302158275,8.585714285714285,8.571428571428571,8.571428571428571,8.571428571428571
Central Europe and the Baltics,,,11.482433590402698,10.968294772922,11.482433590402698,12.960082944530802,15.5668358714044,16.1167512690355,16.2675101671938,17.141641854529997,16.7234042553192,17.0991067630795,16.8438962143769,16.8152866242038,17.0700636942675,17.0276008492569,18.4333759046403,19.2671881432688,19.2102015631427,19.705093833780197,20.1164874551971,19.892473118279604,22.304488662656198,22.7209625173531,23.6927348449792,24.525682554373002
Chad,2.4,2.4,2.4,2.4,2.4,2.4,2.8099999999999996,4.04,5.333225806451615,6.065806451612905,6.475806451612905,6.345806451612905,5.570645161290326,5.440645161290325,5.310645161290325,5.180645161290325,12.78297872340425,14.896808510638301,14.896808510638301,14.896808510638301,14.896808510638301,14.896808510638301,12.78297872340425,15.2542372881356,14.880952380952401,15.4320987654321
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,7.2,7.2,7.35,9.299999999999985,9.583333333333318,9.866666666666651,10.16666666666665,11.3,11.6,11.9,13.45,13.65,13.850000000000001,14.05,13.83333333333335,14.03333333333335,14.03333333333335,14.03333333333335,16.16666666666665,16.16666666666665,15.816666666666652,15.816666666666652,15.8,22.580645161290303,22.580645161290303,22.580645161290303
China,21.8,21.8,21.8,21.80970124202755,21.80970124202755,21.79142091152815,21.64142091152815,21.491420911528152,20.567252931323303,20.4172529313233,20.28422818791945,20.384228187919447,20.6604961187985,21.1128724472715,21.2128724472715,21.312872447271502,21.3115177971793,21.3115177971793,23.400703046535,23.400703046535,23.61142277796555,23.61142277796555,24.223803009575903,24.899328859060397,24.941176470588196,24.941176470588196
Colombia,9.8,9.8,10.7282208588957,10.6,11.600621118012402,12.0006211180124,11.870621118012401,11.864096385542151,11.73409638554215,11.60409638554215,11.51060606060605,9.95686746987952,10.24686746987952,10.536867469879521,10.82686746987952,13.2253012048193,12.860606060606049,12.860606060606049,12.860606060606049,20.3897590361446,20.3897590361446,20.3897590361446,19.23734939759035,18.1286549707602,18.7134502923977,18.3431952662722
Comoros,0.1,0.1,0.05,0.23125,0.825,1.1875,1.55,1.9125,2.275,2.8339015151515152,3.0151515151515147,3.0151515151515147,3.0151515151515147,3.0151515151515147,1.5,3.0151515151515147,3.0151515151515147,3.0151515151515147,3.0151515151515147,3.0151515151515147,3.0151515151515147,3.0151515151515147,6.08030303030303,6.06060606060606,6.06060606060606,16.6666666666667
Congo,12.0,12.0,12.0,12.0,12.0,12.0,11.62,11.24,10.86,10.48,10.1,9.92,9.74,9.559999999999999,9.379999999999999,9.2,9.6,9.6,9.6,11.5,11.5,11.5,14.0,,,
Congo (Democratic Republic of the),10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,9.7,9.2,8.7,8.2,7.7,8.0,8.3,8.3,9.7,8.2,8.2,8.2,,,
"Congo, Dem. Rep.",,,,,,,,,,12.0,12.0,8.4,8.4,8.4,8.4,8.4,,8.943089430894311,8.943089430894311,10.6425702811245,8.943089430894311,8.943089430894311,8.943089430894311,8.943089430894311,10.0,12.8
"Congo, Rep.",,,,12.0,12.0,12.0,12.0,,8.527131782945741,8.527131782945741,8.527131782945741,8.527131782945741,7.299270072992701,7.299270072992701,7.299270072992701,7.299270072992701,7.299270072992701,7.35294117647059,7.35294117647059,7.35294117647059,7.35294117647059,7.35294117647059,11.2582781456954,11.2582781456954,11.2582781456954,11.2582781456954
Costa Rica,15.8,15.8,15.794736842105252,18.132456140350882,18.715789473684218,19.29912280701755,20.879122807017552,30.353859649122803,31.9338596491228,33.5138596491228,35.093859649122805,37.1982456140351,36.671052631578945,37.021052631578954,37.37105263157895,38.5982456140351,38.5982456140351,38.5982456140351,38.5982456140351,33.31666666666665,33.31666666666665,33.31666666666665,35.093859649122805,45.614035087719294,45.614035087719294,45.614035087719294
Cote d'Ivoire,,,8.0,8.0,8.0,,8.52017937219731,8.52017937219731,8.52017937219731,8.52017937219731,8.52017937219731,8.52017937219731,8.866995073891632,8.866995073891632,8.866995073891632,8.866995073891632,11.0236220472441,10.4417670682731,10.4417670682731,9.44881889763779,9.163346613545821,9.163346613545821,10.5882352941176,10.5882352941176,10.9803921568627,11.372549019607801
Croatia,7.2,7.2,7.5370078740157505,9.020341207349084,10.503674540682418,18.314900662251652,18.87490066225165,19.43490066225165,19.46,21.14526315789475,21.70526315789475,21.885263157894748,21.6675163398693,21.8475163398693,23.33470588235295,23.51470588235295,23.8205298013245,23.8205298013245,23.8205298013245,23.8205298013245,15.215894039735097,12.5913907284768,18.521523178807946,18.543046357615896,20.5298013245033,29.8013245033113
Cuba,22.8,22.8,22.77521222410865,26.010316139767053,26.810316139767053,27.61031613976705,28.450316139767054,29.29031613976705,34.30029556650245,35.140295566502445,35.98029556650245,36.70029556650245,37.420295566502446,41.7398045602606,42.45980456026061,43.17980456026061,45.2109215017065,45.2109215017065,48.8781045751634,48.8781045751634,48.8781045751634,48.8781045751634,48.8781045751634,53.223140495867796,53.223140495867796,53.223140495867796
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,5.4,5.4,5.37857142857143,5.661904761904763,5.945238095238096,7.121428571428569,9.80714285714285,10.707142857142848,11.60714285714285,15.1857142857143,16.0857142857143,14.83285714285715,14.47285714285715,14.11285714285715,12.86,12.5,10.707142857142848,10.707142857142848,10.707142857142848,12.5,12.5,17.878571428571448,17.878571428571448,17.8571428571429,17.8571428571429,19.6428571428571
Czech Republic,,,15.0,15.0,15.0,15.0,15.0,17.0,17.0,17.0,17.0,15.5,15.5,15.5,15.5,22.0,22.0,22.0,19.5,19.5,20.0,20.0,22.0,22.0,22.5,22.5
Czechia,13.9,13.9,13.9,14.125,14.35,14.575,14.8,15.025,15.25,15.475,15.7,16.759999999999998,17.82,18.88,19.939999999999998,21.0,21.0,20.6,18.9,18.5,19.6,19.6,21.1,,,
Côte d'Ivoire,8.0,8.0,8.0,8.0625,8.125,8.1875,8.25,8.3125,8.375,8.4375,8.5,8.58,8.66,8.74,8.82,8.9,11.0,10.4,10.4,9.4,9.2,9.2,9.2,,,
Denmark,33.0,33.0,32.9804469273743,35.948417132216036,36.681750465549364,37.4150837988827,37.3,37.59441340782125,37.54441340782125,37.49441340782125,36.88575418994415,36.99575418994415,37.66441340782124,37.77441340782125,37.88441340782125,37.99441340782125,39.1030726256983,39.1030726256983,39.1030726256983,39.1030726256983,37.4150837988827,37.4150837988827,37.4150837988827,37.4301675977654,39.106145251396605,39.664804469273705
Djibouti,0.1,0.1,0.1,0.05,0.05,0.05,1.12,2.19,8.644615384615399,9.7146153846154,10.7846153846154,11.0846153846154,12.9230769230769,13.223076923076901,13.5230769230769,13.8230769230769,13.8230769230769,13.8230769230769,12.713636363636349,12.713636363636349,12.713636363636349,12.713636363636349,10.7846153846154,26.153846153846196,26.153846153846196,26.153846153846196
Dominica,9.4,9.4,9.3875,9.60625,9.825,10.7125,14.95,15.16875,15.3875,15.9086693548387,12.9016129032258,12.8616129032258,14.43451612903225,15.705,13.432857142857149,12.5,12.5,12.5,12.5,12.9016129032258,21.8875,21.8875,25.0,25.0,25.0,34.375
Dominican Republic,10.0,10.0,10.83333333333335,13.8036912751678,14.5536912751678,15.3036912751678,15.3936912751678,16.09666666666665,16.18666666666665,16.27666666666665,16.36666666666665,17.9014606741573,18.271460674157304,18.6414606741573,19.0114606741573,19.9325136612022,19.9325136612022,19.9325136612022,19.9325136612022,19.9325136612022,19.9325136612022,25.57105263157895,25.57105263157895,26.842105263157897,26.842105263157897,27.894736842105303
Early-demographic dividend,,,8.331444116980279,8.84310618066561,8.80897791721974,9.67302452316077,9.52161913523459,11.0885504794134,11.265911596672302,12.145948072384,12.886882829771599,13.4315670161519,14.7212039359444,15.5450936951906,16.9882437404649,17.4212084276511,17.557797018655698,19.2942010994857,20.0692707331153,21.0731795896132,22.1625127397387,22.345321288563103,22.305376344086,22.789593953243102,22.948551664505,23.637316561844898
East Asia & Pacific,,,,16.0468319559229,16.8456071374566,16.357597564351,16.5537270087125,17.2167587228883,16.069600818833198,16.6253425551351,16.9089021541656,17.2857917570499,17.7502307793749,17.9584866001051,18.3339871845168,17.7694235588972,17.6986775429489,17.8567039449428,18.827425487550602,18.5955127392572,19.2873741285825,19.4261880687563,19.810606060606002,20.2357071213641,20.503814944895197,20.8520451511106
East Asia & Pacific (IDA & IBRD),,,,17.1707856879381,18.250471994965398,16.9216589861751,17.203723594701,17.8749111584933,16.812303390423,16.7495285444883,16.868085106383,17.2488296723082,17.6808066759388,17.975778546712803,18.796216680997397,18.103448275862103,18.0874840357599,18.4285714285714,19.632678910703,19.2828816920027,20.064178348252,20.2083677856789,20.5111294311624,21.0586505472962,21.1529448523668,21.4151534126487
East Asia & Pacific (excluding high income),,,,17.596707818930103,18.5977859778598,17.3228346456693,17.6150024042315,18.2136602451839,16.8594461969857,17.190872648782,17.2947303921569,17.6574834863863,18.032786885245898,18.2962847815949,18.5528756957328,17.9385384502279,17.926846898944603,18.23673234575,19.3168771526981,19.063245823389,19.7626654495664,19.868637110016397,20.1280333482209,20.6260150597962,20.856373174535698,21.09375
Ecuador,3.7,3.7,3.6792682926829254,12.344352617079865,14.161019283746532,14.6170731707317,14.7570731707317,15.16,15.719999999999999,15.86,16.0,22.13,23.759999999999998,25.39,30.649032258064498,32.2790322580645,32.2790322580645,32.2790322580645,38.693065693430654,41.6029197080292,41.6029197080292,41.6029197080292,37.978102189781,37.956204379562,37.956204379562,39.4160583941606
Egypt,2.0,2.0,2.0,2.0,2.0,2.0,2.36,2.7199999999999998,3.08,3.44,3.8,3.571428571428571,3.342857142857143,3.1142857142857143,2.8857142857142857,2.6571428571428575,2.428571428571429,2.2,5.375,8.55,11.724999999999998,14.9,14.9,,,
"Egypt, Arab Rep.",,,1.9823788546255499,1.9823788546255499,1.9823788546255499,1.9823788546255499,2.42290748898678,2.42290748898678,2.42290748898678,2.8634361233480203,1.9823788546255499,2.0361990950226203,1.80995475113122,1.80995475113122,1.76211453744493,12.6953125,1.96850393700787,1.96850393700787,,,,14.932885906040301,14.932885906040301,14.932885906040301,14.932885906040301,15.1006711409396
El Salvador,15.5,15.5,15.488095238095251,15.08333333333335,14.08333333333335,9.51190476190476,9.63190476190476,9.751904761904761,10.46714285714285,10.58714285714285,10.707142857142848,14.51333333333335,15.34333333333335,16.17333333333335,18.1938095238095,19.023809523809497,19.023809523809497,26.195238095238096,26.195238095238096,27.3904761904762,32.12142857142855,32.12142857142855,32.12142857142855,30.952380952381002,30.952380952381002,33.3333333333333
Equatorial Guinea,8.8,8.8,8.775,8.141666666666667,5.633333333333334,5.0,6.3,7.6,8.9,16.7,18.0,17.2,16.4,9.6,10.8,10.0,10.0,10.0,11.21060606060605,21.15,21.85,21.85,19.7,20.0,21.0,21.0
Eritrea,21.0,21.0,20.976190476190503,19.9261904761905,15.733333333333348,14.683333333333348,15.413333333333348,19.810000000000002,20.54,21.27,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,
Estonia,10.9,10.9,10.895544554455451,12.04554455445545,16.6608910891089,17.8108910891089,17.9108910891089,18.0108910891089,18.6059405940594,18.7059405940594,18.8059405940594,19.2059405940594,20.5960396039604,20.9960396039604,22.3861386138614,22.786138613861404,19.8009900990099,20.796039603960402,20.796039603960402,19.0,23.7811881188119,23.7811881188119,26.71633663366335,26.7326732673267,29.7029702970297,28.712871287128703
Eswatini,,,3.125,3.125,3.07692307692308,3.07692307692308,3.07692307692308,3.07692307692308,10.7692307692308,10.7692307692308,10.7692307692308,10.7692307692308,10.7692307692308,13.8461538461538,13.6363636363636,13.6363636363636,13.6363636363636,13.6363636363636,6.153846153846151,6.153846153846151,6.153846153846151,6.153846153846151,6.153846153846151,7.2463768115942,7.2463768115942,9.58904109589041
Eswatini (Kingdom of),8.5,8.5,8.5,7.766666666666667,7.033333333333333,6.3,8.4,10.5,12.600000000000001,14.7,16.8,17.82,18.84,19.86,20.88,21.9,21.9,21.9,14.7,14.7,14.7,14.7,14.7,,,
Ethiopia,21.0,21.0,11.524208566108005,11.524208566108005,11.512891344383055,14.346153846153845,14.33912248628885,14.33912248628885,14.33912248628885,14.33912248628885,21.2142857142857,21.9140831758034,22.3640831758034,22.8140831758034,23.2640831758034,26.64396709323585,26.64396709323585,26.64396709323585,26.64396709323585,26.64396709323585,38.0284277879342,38.0284277879342,38.0284277879342,38.7568555758684,38.7568555758684,38.7568555758684
Euro area,,,16.868848706797902,17.0290684367132,18.281885618569,19.3314633006078,19.1294387170676,19.0823015294974,20.690459528808,21.705046545810898,22.160148975791397,23.0394431554524,24.652133580704998,24.9594438006953,25.4625346901018,25.3237742830712,26.0467268100856,27.4242073594075,29.965397923875397,30.1107521919705,30.196078431372598,30.3212387335336,31.213084961381195,31.9700068166326,33.3711949114039,33.6512261580381
Europe & Central Asia,,,14.511278195488698,15.1596272060282,16.0555729656325,16.562282533055,16.537589724216097,18.3352674332735,17.7636570561457,18.8124575531192,19.16161998486,19.532967032967,21.0099352839304,21.348832918165897,21.894621894621896,21.993469980047198,22.704174228675104,23.750787791482896,24.797625472207198,25.348495964783602,25.743119266055004,26.0058791107845,27.3847852083525,27.953837699212304,29.4559443121451,30.127324356508197
