Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Canada,7.0,7.4,7.8,8.2,8.6,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.8,8.6,8.4,8.2,8.0,8.0,8.0,7.0,7.0
Central African Republic,1290.0,1292.0,1294.0,1296.0,1298.0,1300.0,1280.0,1260.0,1240.0,1220.0,1200.0,1172.0,1144.0,1116.0,1088.0,1060.0,1029.8,999.6,969.4,939.2,909.0,888.0,876.0,873.0,872.0
Chad,1450.0,1446.0,1442.0,1438.0,1434.0,1430.0,1418.0,1406.0,1394.0,1382.0,1370.0,1330.0,1290.0,1250.0,1210.0,1170.0,1144.0,1118.0,1092.0,1066.0,1040.0,984.0,931.0,901.0,881.0
Chile,57.0,53.8,50.6,47.4,44.2,41.0,39.0,37.0,35.0,33.0,31.0,30.2,29.4,28.6,27.8,27.0,26.8,26.6,26.4,26.2,26.0,25.0,24.0,23.0,23.0
China,97.0,92.0,87.0,82.0,77.0,72.0,69.2,66.4,63.6,60.8,58.0,56.0,54.0,52.0,50.0,48.0,45.4,42.8,40.2,37.6,35.0,33.0,31.0,29.0,28.0
Colombia,118.0,115.4,112.8,110.2,107.6,105.0,103.4,101.8,100.2,98.6,97.0,93.6,90.2,86.8,83.4,80.0,78.4,76.8,75.2,73.6,72.0,69.0,66.0,67.0,66.0
Comoros,635.0,620.6,606.2,591.8,577.4,563.0,550.2,537.4,524.6,511.8,499.0,486.4,473.8,461.2,448.6,436.0,426.4,416.8,407.2,397.6,388.0,376.0,365.0,354.0,344.0
Congo,603.0,609.2,615.4,621.6,627.8,634.0,637.8,641.6,645.4,649.2,653.0,641.6,630.2,618.8,607.4,596.0,578.6,561.2,543.8,526.4,509.0,494.0,483.0,469.0,452.0
Congo (Democratic Republic of the),879.0,886.0,893.0,900.0,907.0,914.0,906.0,898.0,890.0,882.0,874.0,856.6,839.2,821.8,804.4,787.0,788.4,789.8,791.2,792.6,794.0,777.0,771.0,746.0,717.0
Costa Rica,43.0,43.2,43.4,43.6,43.8,44.0,42.8,41.6,40.4,39.2,38.0,36.6,35.2,33.8,32.4,31.0,30.6,30.2,29.8,29.4,29.0,28.0,27.0,26.0,26.0
Croatia,10.0,10.4,10.8,11.2,11.6,12.0,11.8,11.6,11.4,11.2,11.0,11.0,11.0,11.0,11.0,11.0,10.8,10.6,10.4,10.2,10.0,10.0,9.0,9.0,9.0
Cuba,58.0,57.4,56.8,56.2,55.6,55.0,52.6,50.2,47.8,45.4,43.0,42.6,42.2,41.8,41.4,41.0,41.6,42.2,42.8,43.4,44.0,43.0,41.0,41.0,40.0
Cyprus,16.0,16.2,16.4,16.6,16.8,17.0,16.6,16.2,15.8,15.4,15.0,14.4,13.8,13.2,12.6,12.0,11.2,10.4,9.6,8.8,8.0,7.0,7.0,7.0,7.0
