Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Brunei Darussalam,13.4,13.26,13.12,12.98,12.84,12.7,12.52,12.34,12.16,11.98,11.8,11.74,11.68,11.620000000000001,11.56,11.5,11.32,11.14,10.959999999999999,10.78,10.6,10.5,10.5,10.5,10.5,10.5,10.5
Bulgaria,18.4,18.58,18.759999999999998,18.94,19.12,19.3,18.96,18.62,18.28,17.94,17.6,16.740000000000002,15.88,15.020000000000001,14.16,13.3,12.780000000000001,12.26,11.74,11.219999999999999,10.7,10.3,9.8,9.3,8.8,8.3,7.9
Burkina Faso,199.8,199.14000000000001,198.48000000000002,197.82,197.16,196.5,193.28,190.06,186.84,183.62,180.4,175.14000000000001,169.88,164.62,159.35999999999999,154.1,146.5,138.9,131.3,123.69999999999999,116.1,109.4,103.2,97.5,92.6,88.4,84.5
Burundi,174.6,175.2,175.79999999999998,176.4,177.0,177.6,173.42,169.23999999999998,165.06,160.88,156.7,150.44,144.18,137.92000000000002,131.66,125.4,118.44,111.48,104.52,97.56,90.6,85.1,79.9,75.2,70.8,67.1,63.9
Cabo Verde,62.7,61.64,60.58,59.52,58.46,57.4,53.019999999999996,48.64,44.26,39.879999999999995,35.5,33.66,31.82,29.98,28.14,26.3,26.060000000000002,25.82,25.580000000000002,25.34,25.1,24.3,23.3,22.2,21.0,19.7,18.5
Cambodia,115.9,116.68,117.46000000000001,118.24,119.02,119.8,117.24,114.67999999999999,112.12,109.56,107.0,98.66,90.32,81.98,73.64,65.3,61.12,56.94,52.76,48.58,44.4,41.1,38.1,35.7,33.6,32.0,30.6
Cameroon,138.6,140.98,143.35999999999999,145.74,148.12,150.5,150.46,150.42000000000002,150.38,150.34,150.3,146.68,143.06,139.44,135.82,132.2,127.83999999999999,123.47999999999999,119.12,114.76,110.4,105.8,101.5,97.4,93.8,90.1,86.8
Canada,8.3,8.020000000000001,7.74,7.460000000000001,7.180000000000001,6.9,6.760000000000001,6.62,6.48,6.34,6.2,6.18,6.16,6.14,6.12,6.1,6.0,5.8999999999999995,5.8,5.699999999999999,5.6,5.6,5.5,5.5,5.4,5.3,5.2
Central African Republic,175.8,176.06,176.32,176.58,176.84,177.1,176.72,176.34,175.95999999999998,175.57999999999998,175.2,173.42,171.64,169.86,168.08,166.3,163.22,160.14000000000001,157.06,153.98000000000002,150.9,146.8,142.9,139.0,134.8,130.2,125.0
Chad,212.8,210.32000000000002,207.84,205.36,202.88,200.4,197.62,194.84,192.06,189.28,186.5,183.14,179.78,176.42,173.06,169.7,165.79999999999998,161.89999999999998,158.0,154.1,150.2,146.1,142.2,138.4,134.7,130.8,126.9
Chile,19.1,17.900000000000002,16.7,15.5,14.3,13.1,12.66,12.22,11.780000000000001,11.34,10.9,10.56,10.22,9.879999999999999,9.54,9.2,9.12,9.04,8.96,8.88,8.8,8.5,8.4,8.3,8.1,7.9,7.7
China,53.8,52.519999999999996,51.239999999999995,49.96,48.68,47.4,45.28,43.16,41.04,38.92,36.8,34.239999999999995,31.68,29.119999999999997,26.56,24.0,22.36,20.72,19.08,17.44,15.8,14.6,13.5,12.5,11.6,10.8,10.0
Colombia,35.1,34.02,32.94,31.86,30.78,29.7,28.759999999999998,27.82,26.88,25.94,25.0,24.32,23.64,22.96,22.28,21.6,20.98,20.36,19.740000000000002,19.12,18.5,18.0,17.4,16.8,16.2,15.7,15.2
