Continent,2015,2016,2017,2018,2019
Africa,4.299195121951221,4.266871794871794,4.242317083405285,4.28058536585366,4.351333333333334
Asia,5.330081081081081,5.290805555555555,5.322714253834316,5.2883611111111115,5.25963888888889
Europe,5.954975609756098,5.970243902439022,6.008487817717762,6.073219512195122,6.1855
North America,6.064583333333331,6.003230769230768,5.954000014525194,6.033384615384615,6.09325
Oceania,7.285,7.323499999999999,7.299000024795535,7.298,7.2675
South America,6.348636363636363,6.251363636363636,6.098600006103515,5.979699999999999,5.9201999999999995
