Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,57.7531914893617,58.19977189477188,58.64635230018209,59.092932705592276,59.53951311100247,59.98609351641266,60.825477028881274,61.66486054134993,62.50424405381851,63.343627566287154,64.18301107875577,64.86575325383836,65.56610020003637,66.30152819993245,67.61825734549137,68.3550557244174,69.07444275582571,69.56808510638295
Asia,77.80882352941177,78.50696333078686,79.20510313216198,79.90324293353707,80.60138273491216,81.29952253628726,81.99825057295645,82.69697860962567,83.39570664629488,84.0944346829641,84.7931627196333,85.65091036414564,86.09929971988797,87.5079831932773,88.33406862745099,88.9063725490196,89.28014705882353,90.24411764705881
Europe,98.48181818181818,98.61454545454549,98.74727272727274,98.88,99.01272727272729,99.14545454545454,99.18727272727273,99.22909090909091,99.2709090909091,99.31272727272726,99.35454545454544,99.21717171717172,99.31010101010101,99.34090909090911,99.18181818181822,99.12727272727277,98.99393939393944,99.05757575757578
North America,89.8,89.9415909090909,90.08318181818183,90.22477272727271,90.36636363636363,90.50795454545454,90.69530303030302,90.88265151515151,91.07,91.25734848484848,91.44469696969696,92.44204545454544,92.96249999999998,93.175,92.95795454545454,92.37272727272727,93.33636363636361,92.89999999999999
Oceania,92.51818181818182,92.17077922077922,91.82337662337665,91.47597402597404,91.12857142857143,90.78116883116883,91.53876623376624,92.29636363636365,93.05396103896105,93.81155844155843,94.56915584415584,94.47857142857143,94.08344155844156,94.30194805194806,94.46818181818183,94.4939393939394,94.27424242424244,94.30909090909091
South America,86.16,86.984,87.808,88.63199999999999,89.45599999999999,90.28,90.93777777777777,91.59555555555556,92.25333333333334,92.91111111111111,93.56888888888888,94.29666666666665,94.38444444444445,94.21722222222222,94.60999999999999,94.19999999999999,94.41,94.47
