Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa,824.0425531914893,814.340425531915,804.6382978723406,794.936170212766,785.2340425531913,775.531914893617,759.6553191489361,743.7787234042553,727.9021276595745,712.0255319148936,696.1489361702128,674.9957446808511,653.8425531914892,632.6893617021278,611.536170212766,590.3829787234042,572.6382978723406,554.8936170212767,537.1489361702127,519.4042553191489,501.6595744680851,487.0425531914894,473.8936170212766,461.78723404255317,451.3829787234043
Asia,260.14285714285717,249.89714285714285,239.65142857142865,229.4057142857142,219.16,208.9142857142857,199.94285714285715,190.97142857142853,182.00000000000003,173.02857142857147,164.05714285714285,156.96571428571437,149.87428571428566,142.78285714285718,135.6914285714285,128.6,122.94285714285716,117.2857142857143,111.62857142857142,105.97142857142858,100.31428571428572,95.6,91.11428571428571,87.0,83.37142857142857
Europe,23.076923076923077,22.784615384615392,22.492307692307694,22.2,21.907692307692297,21.615384615384617,20.615384615384613,19.615384615384617,18.615384615384617,17.615384615384617,16.615384615384617,15.989743589743593,15.364102564102568,14.738461538461538,14.112820512820507,13.487179487179487,13.123076923076924,12.758974358974362,12.394871794871793,12.030769230769229,11.666666666666666,11.615384615384615,11.282051282051283,11.076923076923077,11.025641025641026
North America,126.36842105263158,123.93684210526317,121.5052631578947,119.07368421052634,116.64210526315789,114.21052631578948,111.36842105263158,108.52631578947368,105.68421052631578,102.84210526315789,100.0,98.26315789473684,96.5263157894737,94.78947368421052,93.05263157894737,91.3157894736842,90.14736842105265,88.97894736842106,87.81052631578946,86.64210526315789,85.47368421052632,84.57894736842105,81.15789473684211,81.73684210526316,80.0
Oceania,179.22222222222223,173.02222222222224,166.82222222222222,160.6222222222222,154.42222222222222,148.22222222222223,143.44444444444446,138.66666666666666,133.88888888888889,129.11111111111111,124.33333333333333,120.42222222222222,116.5111111111111,112.60000000000001,108.6888888888889,104.77777777777777,102.13333333333334,99.48888888888888,96.84444444444445,94.19999999999999,91.55555555555556,89.33333333333333,87.33333333333333,84.77777777777777,82.22222222222223
South America,127.2,125.65999999999997,124.12,122.58,121.04,119.5,118.7,117.9,117.1,116.3,115.5,113.6,111.7,109.8,107.9,106.0,103.91999999999999,101.84,99.75999999999999,97.68,95.6,93.0,90.3,88.4,86.5
