Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,53.66875000000002,53.64166666666666,53.61666666666665,53.60833333333333,53.637499999999996,53.708333333333314,53.80833333333334,53.916666666666664,54.04791666666667,54.19791666666666,54.39374999999999,54.64791666666667,54.96041666666667,55.366666666666674,55.84374999999999,56.38333333333333,57.00833333333333,57.675000000000004,58.36458333333332,59.050000000000004,59.74583333333334,60.40416666666667,61.0375,61.64166666666665,62.20624999999999,62.699999999999996,63.15624999999998,63.55625000000003
Asia,65.56285714285715,65.83999999999999,66.1057142857143,66.35428571428572,66.61714285714287,66.88285714285713,67.17142857142858,67.46857142857141,67.80571428571429,68.14285714285715,68.49999999999999,68.86285714285714,69.2457142857143,69.6057142857143,69.9542857142857,70.31142857142856,70.64000000000001,70.97142857142858,71.30285714285715,71.64,71.95714285714284,72.26,72.56285714285714,72.85428571428572,73.12571428571428,73.3742857142857,73.60857142857142,73.82285714285712
Europe,73.58780487804876,73.65365853658538,73.7390243902439,73.83170731707318,73.9609756097561,74.10975609756098,74.29512195121953,74.50975609756095,74.72926829268296,74.97317073170731,75.21219512195124,75.44390243902438,75.69024390243902,75.90975609756099,76.1439024390244,76.38292682926829,76.60731707317075,76.86341463414634,77.11707317073173,77.38780487804878,77.66829268292683,77.94146341463414,78.19999999999999,78.44634146341465,78.66097560975611,78.85853658536585,79.02439024390245,79.19024390243902
North America,69.67272727272726,69.95909090909092,70.23181818181818,70.48636363636365,70.73636363636363,70.95454545454542,71.17272727272729,71.39545454545454,71.60000000000001,71.8409090909091,72.03636363636363,72.26818181818183,72.46363636363637,72.6681818181818,72.84090909090911,73.02727272727272,73.20454545454545,73.37272727272727,73.55,73.71818181818182,73.88181818181819,74.06363636363635,74.22272727272728,74.39545454545454,74.55000000000001,74.7181818181818,74.87272727272727,75.03636363636363
Oceania,65.7,65.97272727272728,66.27272727272728,66.55454545454546,66.82727272727273,67.12727272727274,67.39090909090909,67.69090909090909,67.98181818181818,68.26363636363637,68.57272727272726,68.86363636363637,69.16363636363636,69.44545454545454,69.69090909090909,69.94545454545454,70.18181818181819,70.41818181818182,70.64545454545454,70.88181818181818,71.10909090909092,71.31818181818181,71.52727272727272,71.76363636363635,71.95454545454545,72.15454545454546,72.35454545454546,72.52727272727273
South America,68.81,69.08,69.37,69.63000000000001,69.92,70.19000000000001,70.46,70.72999999999999,70.99999999999999,71.25999999999999,71.51,71.78,72.05000000000001,72.29999999999998,72.58000000000001,72.83999999999999,73.09,73.34,73.58999999999999,73.83000000000001,74.07000000000001,74.28,74.5,74.69,74.86000000000001,75.07,75.24999999999999,75.43
