Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,149.29375,147.7141666666666,146.13458333333332,144.55499999999998,142.97541666666663,141.39583333333331,138.36666666666665,135.3375,132.3083333333333,129.2791666666667,126.25000000000001,121.77583333333332,117.30166666666668,112.82749999999999,108.35333333333337,103.8791666666667,99.70208333333335,95.52499999999998,91.34791666666665,87.17083333333329,82.99374999999999,79.43541666666667,76.01041666666667,72.8625,70.04791666666665,67.41041666666668,64.84583333333335
Asia,67.17714285714285,65.27199999999999,63.36685714285712,61.46171428571428,59.556571428571445,57.65142857142858,55.508571428571436,53.36571428571429,51.22285714285714,49.08,46.93714285714286,44.778285714285715,42.61942857142857,40.46057142857145,38.30171428571429,36.142857142857146,34.56228571428572,32.98171428571429,31.401142857142855,29.82057142857143,28.239999999999995,26.99428571428571,25.839999999999996,24.782857142857143,23.80857142857143,22.91428571428572,22.065714285714282
Europe,17.0,16.49571428571429,15.991428571428568,15.487142857142855,14.982857142857146,14.478571428571424,13.875238095238089,13.27190476190476,12.668571428571429,12.065238095238092,11.461904761904762,10.920000000000002,10.378095238095236,9.836190476190476,9.294285714285712,8.752380952380951,8.348095238095237,7.943809523809524,7.53952380952381,7.135238095238097,6.730952380952379,6.438095238095239,6.166666666666665,5.90238095238095,5.671428571428571,5.459523809523809,5.250000000000001
North America,39.71363636363637,38.34,36.96636363636364,35.59272727272727,34.21909090909091,32.845454545454544,31.776363636363634,30.707272727272724,29.63818181818182,28.569090909090914,27.500000000000004,26.776363636363637,26.052727272727267,25.329090909090915,24.605454545454542,23.881818181818186,24.549999999999997,25.218181818181815,25.886363636363637,26.55454545454546,27.222727272727273,20.922727272727272,20.53636363636363,20.149999999999995,19.78181818181818,19.400000000000002,19.0
Oceania,43.13846153846154,41.96615384615385,40.79384615384616,39.621538461538464,38.449230769230766,37.276923076923076,36.50153846153846,35.726153846153856,34.950769230769225,34.17538461538462,33.400000000000006,32.963076923076926,32.526153846153846,32.089230769230774,31.652307692307694,31.215384615384615,30.89692307692308,30.578461538461543,30.26000000000001,29.941538461538467,29.62307692307693,29.146153846153847,28.592307692307692,27.984615384615388,27.33076923076923,26.66923076923077,26.000000000000004
South America,45.78,43.966,42.152,40.337999999999994,38.524,36.709999999999994,35.17399999999999,33.638,32.102000000000004,30.56600000000001,29.03,27.964,26.898000000000003,25.832,24.766,23.7,22.922,22.144,21.366000000000003,20.588,19.81,19.14,18.509999999999998,17.9,17.32,16.75,16.31
