Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,91.50833333333331,90.46083333333331,89.41333333333336,88.3658333333333,87.31833333333337,86.27083333333333,84.62166666666666,82.9725,81.32333333333332,79.67416666666666,78.02499999999999,75.5875,73.15000000000002,70.7125,68.275,65.83749999999999,63.66541666666664,61.49333333333333,59.32125000000001,57.149166666666666,54.977083333333354,53.091666666666676,51.26666666666665,49.589583333333344,48.02500000000001,46.56041666666666,45.12916666666666
Asia,50.35142857142857,49.07314285714287,47.79485714285713,46.51657142857142,45.23828571428571,43.96000000000001,42.48342857142856,41.00685714285715,39.530285714285704,38.05371428571428,36.57714285714287,35.05428571428572,33.531428571428584,32.00857142857142,30.485714285714284,28.962857142857143,27.787428571428574,26.612000000000002,25.436571428571426,24.26114285714286,23.08571428571428,22.122857142857143,21.234285714285708,20.414285714285718,19.657142857142862,18.954285714285717,18.30285714285714
Europe,14.2,13.77761904761905,13.355238095238091,12.932857142857147,12.510476190476192,12.088095238095239,11.60190476190476,11.115714285714285,10.629523809523807,10.143333333333336,9.657142857142857,9.216190476190476,8.775238095238095,8.334285714285713,7.893333333333333,7.452380952380951,7.112380952380952,6.772380952380951,6.432380952380951,6.092380952380952,5.7523809523809515,5.502380952380952,5.276190476190475,5.050000000000002,4.84761904761905,4.666666666666667,4.495238095238095
North America,31.131818181818186,30.15818181818182,29.184545454545457,28.210909090909094,27.237272727272728,26.263636363636362,25.49454545454546,24.725454545454543,23.95636363636364,23.187272727272727,22.41818181818182,21.88818181818182,21.35818181818182,20.828181818181818,20.298181818181817,19.76818181818182,19.63,19.491818181818182,19.353636363636365,19.215454545454545,19.077272727272728,17.545454545454547,17.25,16.95909090909091,16.672727272727272,16.39090909090909,16.081818181818182
Oceania,33.776923076923076,32.93538461538462,32.09384615384616,31.252307692307696,30.410769230769237,29.569230769230767,29.004615384615384,28.439999999999998,27.875384615384615,27.310769230769232,26.746153846153845,26.421538461538457,26.096923076923076,25.772307692307688,25.447692307692307,25.123076923076926,24.901538461538458,24.680000000000003,24.458461538461542,24.236923076923077,24.015384615384612,23.646153846153847,23.26153846153846,22.800000000000004,22.32307692307692,21.846153846153847,21.353846153846153
South America,36.64,35.33,34.019999999999996,32.709999999999994,31.4,30.089999999999996,28.924,27.758000000000003,26.592000000000002,25.426,24.259999999999998,23.408,22.556,21.703999999999997,20.852,20.0,19.368,18.736,18.104000000000003,17.472,16.84,16.27,15.75,15.23,14.77,14.279999999999998,13.930000000000001
