Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Africa,129.9020833333333,128.4666666666667,127.03125,125.59583333333335,124.16041666666666,122.72500000000004,121.45416666666667,120.18333333333335,118.91250000000001,117.64166666666665,116.37083333333338,115.10041666666665,113.83000000000003,112.5595833333333,111.28916666666665,110.01875,108.72208333333337,107.42541666666665,106.12875000000001,104.83208333333333,103.53541666666666,102.03333333333335,100.53541666666665,99.03750000000001,97.53958333333334,96.03333333333332,93.21874999999999,90.3875
Asia,69.02285714285716,67.40514285714286,65.78742857142858,64.16971428571429,62.55199999999999,60.934285714285735,58.65028571428571,56.36628571428571,54.0822857142857,51.798285714285704,49.5142857142857,47.644571428571425,45.77485714285714,43.905142857142856,42.035428571428575,40.16571428571429,39.30628571428572,38.446857142857155,37.58742857142858,36.728,35.86857142857143,35.40285714285714,34.94285714285714,34.454285714285724,33.99714285714287,33.519999999999996,32.14285714285714,30.782857142857154
Europe,30.110256410256405,29.67538461538462,29.240512820512834,28.805641025641023,28.37076923076923,27.935897435897434,26.72051282051282,25.505128205128205,24.289743589743587,23.074358974358976,21.858974358974358,21.106153846153845,20.35333333333333,19.600512820512822,18.847692307692302,18.094871794871796,17.985641025641026,17.87641025641026,17.76717948717949,17.657948717948717,17.548717948717947,17.102564102564102,16.65384615384616,16.194871794871794,15.753846153846156,15.302564102564105,14.717948717948715,14.130769230769234
North America,97.155,95.72800000000001,94.30099999999999,92.874,91.447,90.02,88.17800000000001,86.33600000000001,84.494,82.652,80.80999999999999,78.94399999999999,77.078,75.212,73.346,71.48,70.158,68.83599999999998,67.514,66.19200000000001,64.87,63.735000000000014,62.61,61.48,60.325,59.21,57.415000000000006,55.6
Oceania,54.52222222222222,53.65555555555555,52.78888888888889,51.922222222222224,51.05555555555555,50.18888888888889,49.235555555555564,48.28222222222222,47.32888888888889,46.37555555555555,45.42222222222222,44.56666666666666,43.71111111111111,42.855555555555554,42.0,41.144444444444446,40.675555555555555,40.20666666666667,39.73777777777778,39.26888888888889,38.8,38.46666666666667,38.13333333333334,37.800000000000004,37.4888888888889,37.13333333333334,36.44444444444444,35.72222222222222
South America,81.69,82.098,82.50600000000001,82.914,83.322,83.72999999999999,83.35,82.97,82.59,82.21000000000001,81.83,81.142,80.454,79.76599999999999,79.078,78.39000000000001,77.332,76.274,75.21599999999998,74.158,73.1,72.12,71.15,70.14999999999999,69.18,68.2,66.5,64.8
