Continent,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,9.341666666666665,9.341666666666665,9.299819634605965,9.570659471685637,9.826919475192568,10.116398054619008,10.990967105246296,12.045100726286249,13.037878920628843,13.995817576139057,15.365760077906012,15.82566116900291,16.31756854671084,16.738041471910723,17.219239458715073,17.47754244081906,18.598780352926507,19.85481793351169,20.989040299305795,21.648897232774864,22.17222380962989,22.062234341827256,22.073087986078747,23.338743956839803,23.197632943455158,23.941520450622487
Asia,6.802857142857144,6.802857142857144,7.260814642739362,7.558023787400889,8.05914254653412,8.7024433549312,9.14247724361534,9.34549203626103,9.606880097013509,9.692833313442657,10.287944693902869,10.972227193158771,12.377120548518958,13.033791522258795,14.02076872249373,14.637037659267435,14.850968470757111,15.279881931740379,15.912583747176882,15.687544802265974,15.720823434824078,16.160994093867362,16.57364425098576,17.159290603442027,18.509462271021643,19.564042739040463
Europe,14.955813953488367,14.955813953488367,14.931811545615334,15.83609557062614,16.587412437214454,17.142388783993194,17.891053224967578,18.39661487565003,19.054299564769718,20.219361350935014,21.041231065888994,21.095813840436147,21.680755070685358,21.88221097767724,22.697813275975992,22.772794482780995,23.73422002586332,24.605896966344826,25.442486195921596,25.525168669105085,25.453987136728617,26.16754645966354,26.78131938117689,27.61761044244511,29.800001589986223,30.53880609300111
North America,13.94090909090909,13.94090909090909,13.214741531687798,13.68071487719957,13.701918307011082,14.109890843350337,14.45821257589843,15.706084129995059,16.483270982676842,17.38144669027263,18.202404351562954,18.245305293813438,18.619191351655846,18.383201178872614,18.152198162255118,18.32202580748429,19.639026872860985,20.159196906780277,21.081237425270743,21.752240889030308,23.24987151160841,23.727298888021572,24.208158883914667,27.36664608730354,27.949684536993306,30.438618430005384
Oceania,6.030769230769229,6.030769230769229,5.647798071716812,5.645041007352604,6.415714539388518,6.453023159041204,6.439505315566913,6.463443054198549,6.405354327176335,6.5977479244602355,6.925972827822288,7.147929027146143,7.31438237742219,7.414225775868422,7.526618938261581,7.390614664757312,8.012215237299529,8.32443639662725,8.887976657535932,8.582038367831409,9.369737032802801,10.227569262684721,11.596074552684305,11.643207503744398,11.865573359270135,12.20464767349973
South America,10.77,10.77,10.967971633643064,12.398116313526518,12.512753806764719,13.291616408266446,13.814609082414897,15.30284047033016,16.153371437900603,17.416424492746117,18.078863897189564,18.89294340754448,19.37956056804729,19.744764784121074,20.671763252752562,20.67265454139546,20.096087311415896,20.096087311415896,21.255929285082594,24.71531490150875,26.377652027263593,26.8086647888211,26.984403388889085,27.81193290523448,28.631179636033565,28.84591668404107
